|                MJD |     mag |   dmag | filt |      source | nondet |
|  57822.90640000021 | 14.9948 | 0.0066 |    g | Las Cumbres |  False |
|  57822.90920000011 | 15.0007 | 0.0059 |    g | Las Cumbres |  False |
|  57822.91220000014 | 15.0143 | 0.0055 |    r | Las Cumbres |  False |
|  57822.91399999987 | 15.0351 | 0.0063 |    r | Las Cumbres |  False |
|  57822.91610000003 | 15.2209 | 0.0068 |    i | Las Cumbres |  False |
|  57822.91789999977 |  15.207 | 0.0059 |    i | Las Cumbres |  False |
|  57823.10149999987 | 14.5307 | 0.0108 |    U | Las Cumbres |  False |
|  57823.10539999977 | 14.5325 | 0.0106 |    U | Las Cumbres |  False |
|  57823.10960000008 | 14.9534 | 0.0041 |    B | Las Cumbres |  False |
|  57823.11230000015 | 14.9431 | 0.0048 |    B | Las Cumbres |  False |
|  57823.11530000018 | 14.9091 | 0.0051 |    V | Las Cumbres |  False |
| 57823.117099999916 | 14.8896 | 0.0051 |    V | Las Cumbres |  False |
| 57823.119200000074 | 14.7983 | 0.0049 |    g | Las Cumbres |  False |
| 57823.121999999974 | 14.7898 |  0.005 |    g | Las Cumbres |  False |
|          57823.125 | 14.8564 | 0.0054 |    r | Las Cumbres |  False |
|   57823.1268000002 | 14.8624 | 0.0054 |    r | Las Cumbres |  False |
| 57823.128800000064 |  15.055 | 0.0067 |    i | Las Cumbres |  False |
| 57823.130700000096 | 15.0462 | 0.0052 |    i | Las Cumbres |  False |
|  57823.14199999999 | 14.4982 | 0.0114 |    U | Las Cumbres |  False |
|  57823.14600000018 | 14.5346 | 0.0111 |    U | Las Cumbres |  False |
|   57823.1501000002 |  14.913 | 0.0048 |    B | Las Cumbres |  False |
|   57823.1529000001 | 14.9151 | 0.0048 |    B | Las Cumbres |  False |
|  57823.15590000013 | 14.8661 |  0.005 |    V | Las Cumbres |  False |
| 57823.157699999865 |  14.858 | 0.0058 |    V | Las Cumbres |  False |
|  57823.15970000019 | 14.7936 | 0.0049 |    g | Las Cumbres |  False |
|  57823.16250000009 | 14.7954 | 0.0057 |    g | Las Cumbres |  False |
|  57823.16539999982 | 14.8335 | 0.0062 |    r | Las Cumbres |  False |
| 57823.167299999855 | 14.8317 | 0.0053 |    r | Las Cumbres |  False |
|  57823.16930000018 | 15.0031 | 0.0067 |    i | Las Cumbres |  False |
|  57823.17109999992 | 15.0303 | 0.0067 |    i | Las Cumbres |  False |
|  57823.31320000021 | 14.4219 | 0.0095 |    U | Las Cumbres |  False |
|  57823.31719999993 | 14.4334 | 0.0095 |    U | Las Cumbres |  False |
|  57823.32120000012 | 14.7911 | 0.0056 |    B | Las Cumbres |  False |
|  57823.32400000002 | 14.7952 | 0.0065 |    B | Las Cumbres |  False |
|  57823.32700000005 | 14.7419 |  0.005 |    V | Las Cumbres |  False |
| 57823.328799999785 | 14.7409 | 0.0058 |    V | Las Cumbres |  False |
|  57823.33080000011 | 14.6465 | 0.0067 |    g | Las Cumbres |  False |
|  57823.33360000001 | 14.6409 | 0.0058 |    g | Las Cumbres |  False |
|  57823.33650000021 | 14.7217 | 0.0055 |    r | Las Cumbres |  False |
| 57823.338399999775 | 14.7145 | 0.0063 |    r | Las Cumbres |  False |
|   57823.3404000001 | 14.9068 | 0.0051 |    i | Las Cumbres |  False |
|  57823.34219999984 | 14.8991 | 0.0067 |    i | Las Cumbres |  False |
|  57823.53030000022 | 14.2373 | 0.0135 |    U | Las Cumbres |  False |
|  57823.53420000011 | 14.3646 | 0.0128 |    U | Las Cumbres |  False |
|  57823.53839999996 | 14.8829 | 0.0131 |    B | Las Cumbres |  False |
|  57823.54110000003 | 14.7102 | 0.0057 |    B | Las Cumbres |  False |
|  57823.54410000006 | 14.5347 | 0.0061 |    V | Las Cumbres |  False |
|  57823.54589999979 | 14.5964 | 0.0053 |    V | Las Cumbres |  False |
|  57823.54790000012 | 14.5701 | 0.0066 |    g | Las Cumbres |  False |
|  57823.55070000002 | 14.5553 |  0.005 |    g | Las Cumbres |  False |
|  57823.55370000005 | 14.5904 | 0.0054 |    r | Las Cumbres |  False |
| 57823.555499999784 | 14.5864 | 0.0054 |    r | Las Cumbres |  False |
|  57823.55759999994 | 14.7841 | 0.0058 |    i | Las Cumbres |  False |
| 57823.559400000144 | 14.7784 | 0.0058 |    i | Las Cumbres |  False |
|  57823.74640000006 |  14.226 | 0.0104 |    U | Las Cumbres |  False |
| 57823.750399999786 | 14.2401 | 0.0102 |    U | Las Cumbres |  False |
| 57823.754399999976 | 14.5819 | 0.0048 |    B | Las Cumbres |  False |
| 57823.757199999876 | 14.5908 |  0.004 |    B | Las Cumbres |  False |
|   57823.7601999999 | 14.4943 | 0.0053 |    V | Las Cumbres |  False |
| 57823.762000000104 | 14.4808 | 0.0046 |    V | Las Cumbres |  False |
|   57823.7640999998 | 14.4303 | 0.0058 |    g | Las Cumbres |  False |
|  57823.76690000016 | 14.4304 | 0.0058 |    g | Las Cumbres |  False |
|  57823.76979999989 |  14.468 | 0.0055 |    r | Las Cumbres |  False |
